"uid","site_id","taxa_id","density","biovol_per_cell","zoo_mean_biomass","zoo_total_density","temp_mean","phos_total_mean","nitrate_mean","silicate_mean"
6160,"NLA12_CA-143",4416,15.75,11.4028063492063,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4677,1,197.9202,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4095,1,3769.908,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4183,33.8539,110.223640407752,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4593,16,0.883575,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4023,1,314.159,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4549,11.3357,538.521211746959,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4133,1,1432.565,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4416,340.0712,65.4497928669055,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4666,8,0.818125,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4771,34.0071,68433.6629115685,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4771,1,73760.6062,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4075,25,8.796452,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4666,253.1641,34.4793436352153,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4183,3.7786,106.027788069655,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4139,1,1272.344,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4107,1,1212.0779,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4557,3.7786,1047.1880590695,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4677,1296.0492,96.9808796610499,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4766,392.9712,8.18122345861478,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4875,7.5571,1531.53281020497,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4559,1,392.6988,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
6160,"NLA12_CA-143",4875,5.9742,1767.15143450169,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19
